Data_Type,Variable_Name,Variable_Start,Variable_End,Variable_Length,Variable_Details_1,Variable_Details_2,Variable_Details_3,Variable_Details_4
str,hhid,1,12,11,Case Identification,,,
str,hv000,13,15,2,Country code and phase,,,
long,hv001,16,21,5,Cluster number,,,
long,hv002,22,27,5,Household number,,,
int,hv003,28,30,2,Respondent's line number (answering Household questionnaire),,,
long,hv004,31,36,5,Ultimate area unit,,,
long,hv005,37,44,7,Household sample weight (6 decimals),,,
byte,hv006,45,46,1,Month of interview,,,
int,hv007,47,50,3,Year of interview,,,
int,hv008,51,54,3,Date of interview (CMC),,,
long,hv008a,55,59,4,Date of interview Century Day Code (CDC),,,
byte,hv009,60,61,1,Number of household members,,,
byte,hv010,62,63,1,Number of eligible women in household,,,
byte,hv011,64,65,1,Number of eligible men in household,,,
byte,hv012,66,67,1,Number of de jure members,,,
byte,hv013,68,69,1,Number of de facto members,,,
byte,hv014,70,71,1,Number of children 5 and under (de jure),,,
byte,hv015,72,72,0,Result of household interview,,,
byte,hv016,73,74,1,Day of interview,,,
byte,hv017,75,75,0,Number of visits,,,
long,hv018,76,82,6,Interviewer identification,,,
int,hv019,83,85,2,NA - Keyer identification,,,
byte,hv020,86,86,0,Ever-married sample,,,
long,hv021,87,92,5,Primary sampling unit,,,
long,hv022,93,97,4,Sample strata for sampling errors,,,
long,hv023,98,102,4,Stratification used in sample design,,,
byte,hv024,103,104,1,State,,,
byte,hv025,105,105,0,Type of place of residence,,,
byte,hv026,106,106,0,NA - Place of residence,,,
byte,hv027,107,107,0,Household selected for male interview,,,
long,hv028,108,115,7,Household weight for male subsample (6 decimals),,,
long,hv030,116,122,6,Field supervisor,,,
long,hv031,123,127,4,NA - Field editor,,,
int,hv032,128,130,2,NA - Office editor,,,
byte,hv035,131,132,1,Number of eligible children for height and weight,,,
int,hv040,133,136,3,Cluster altitude in meters,,,
byte,hv041,137,138,1,Total adults measured,,,
byte,hv042,139,139,0,Household selected for hemoglobin,,,
byte,hv044,140,140,0,Household selected for Domestic Violence module,,,
int,hv045a,141,143,2,Language of questionnaire,,,
int,hv045b,144,146,2,Language of interview,,,
int,hv045c,147,149,2,Native language of respondent,,,
byte,hv046,150,150,0,Translator used,,,
int,hv801,151,154,3,Time interview started (hhmm - 24 hour clock),,,
int,hv802,155,158,3,Time interview ended (hhmm - 24 hour clock),,,
byte,hv803,159,160,1,Length of interview in minutes,,,
byte,hv804,161,161,0,Number of visits for biomarker,,,
byte,hv807d,162,163,1,Day of biomarker visit,,,
